Draw,Date,Numbers
1,2020-09-26,"11,21,27,36,62,24"
2,2020-09-30,"14,18,36,49,67,18"
3,2020-10-03,"18,31,36,43,47,20"
4,2020-10-07,"6,24,30,53,56,19"
5,2020-10-10,"5,18,23,40,50,18"
6,2020-10-14,"21,37,52,53,58,5"
7,2020-10-17,"6,10,31,37,44,23"
8,2020-10-21,"1,3,13,44,56,26"
9,2020-10-24,"18,20,27,45,65,6"
10,2020-10-28,"11,28,37,40,53,13"
11,2020-10-31,"2,6,40,42,55,24"
12,2020-11-04,"23,32,33,45,49,14"
13,2020-11-07,"14,16,37,48,58,18"
14,2020-11-11,"13,15,17,45,63,13"
15,2020-11-14,"7,15,18,32,45,20"
16,2020-11-18,"4,5,17,43,52,5"
17,2020-11-21,"51,54,57,60,69,11"
18,2020-11-25,"2,57,58,60,65,26"
19,2020-11-28,"8,12,18,44,51,18"
20,2020-12-02,"28,31,40,41,46,4"
21,2020-12-05,"3,4,6,48,53,10"
22,2020-12-09,"11,14,31,47,48,4"
23,2020-12-12,"17,54,56,63,69,20"
24,2020-12-16,"4,23,37,61,67,7"
25,2020-12-19,"27,32,34,43,52,13"
26,2020-12-23,"6,13,38,39,53,6"
27,2020-12-26,"10,24,27,35,53,18"
28,2020-12-30,"3,43,45,61,65,14"
29,2021-01-02,"3,4,11,41,67,5"
30,2021-01-06,"1,20,22,60,66,3"
31,2021-01-09,"14,26,38,45,46,13"
32,2021-01-13,"4,19,23,25,49,14"
33,2021-01-16,"14,20,39,65,67,2"
34,2021-01-20,"40,53,60,68,69,22"
35,2021-01-23,"5,8,17,27,28,14"
36,2021-01-27,"17,33,35,42,52,9"
37,2021-01-30,"1,2,7,52,61,4"
38,2021-02-03,"5,37,40,64,66,5"
39,2021-02-06,"1,16,48,49,65,8"
40,2021-02-10,"15,39,58,63,67,7"
41,2021-02-13,"20,28,33,63,68,20"
42,2021-02-17,"1,15,21,32,46,1"
43,2021-02-20,"4,8,22,32,58,4"
44,2021-02-24,"4,33,43,53,65,21"
45,2021-02-27,"2,28,31,44,52,18"
46,2021-03-03,"21,40,44,50,55,16"
47,2021-03-06,"11,31,50,52,58,18"
48,2021-03-10,"17,18,37,44,53,18"
49,2021-03-13,"5,11,51,56,61,2"
50,2021-03-17,"34,38,42,61,62,19"
51,2021-03-20,"1,6,22,42,61,4"
52,2021-03-24,"4,9,17,27,38,18"
53,2021-03-27,"6,14,38,39,65,6"
54,2021-03-31,"3,10,44,55,68,24"
55,2021-04-03,"1,12,17,39,53,5"
56,2021-04-07,"27,35,39,51,66,16"
57,2021-04-10,"14,16,23,50,53,3"
58,2021-04-14,"13,30,33,45,61,14"
59,2021-04-17,"10,21,26,41,49,25"
60,2021-04-21,"21,25,32,63,67,6"
61,2021-04-24,"22,36,48,59,61,22"
62,2020-09-23,"8,17,49,52,59,1"
63,2020-09-19,"11,14,23,47,57,14"
64,2020-09-16,"10,17,31,51,53,1"
65,2020-09-12,"16,17,20,53,67,4"
66,2020-09-09,"27,52,55,60,64,21"
67,2020-09-05,"15,21,22,27,47,7"
68,2020-09-02,"1,4,11,20,69,18"
69,2020-08-29,"5,21,22,29,43,10"
70,2020-08-26,"8,12,19,47,58,2"
71,2020-08-22,"19,30,36,42,66,14"
72,2020-08-19,"13,23,47,55,58,23"
73,2020-08-15,"5,12,34,45,56,3"
74,2020-08-12,"2,6,18,36,37,21"
75,2020-08-08,"2,3,14,40,51,24"
76,2020-08-05,"7,14,17,57,65,24"
77,2020-08-01,"6,25,36,43,48,24"
78,2020-07-29,"7,29,35,40,45,26"
79,2020-07-25,"5,21,36,61,62,18"
80,2020-07-22,"16,25,36,44,55,14"
81,2020-07-18,"13,16,32,58,59,9"
82,2020-07-15,"27,47,61,62,69,4"
83,2020-07-11,"14,19,61,62,64,4"
